user screen name,att,RT?
RuthieRedSox,"['phil4gop', 'tedcruz', 'senatemajldr']",retweet
DanyeaEAuuu,['TelemundoNews'],retweet
el_pais,[],tweet
frenchiesrock,['charliekirk11'],retweet
dwulke,['johncardillo'],tweet
alejoriveramoya,['SophyCh_E'],retweet
djantunez,['ElyangelicaNews'],retweet
USRealityCheck,[],tweet
First_Am_,"['officialmcafee', 'Loggiaonfire']",tweet
noraicarrasquel,['monicacorrales'],retweet
geo_wa,['taller2006'],retweet
Spirite66372686,['barmore27'],retweet
Ohio_Buckeye_US,['LATAMforTRUMP'],retweet
TheMsDlr,['tedcruz'],tweet
ElUniversal_SLP,[],tweet
Reporte_Indigo,[],tweet
Chicobe47285287,['TriptoFainus'],retweet
OroNoticias,[],tweet
Metro_PR,[],tweet
superrooter,['RepTimBurchett'],retweet
QTruth4,['tedcruz'],tweet
JTS_1957,['SenTedCruz'],retweet
71RCJ,['lasillarota'],retweet
TeddyOtieno254,['keziahwahu_'],retweet
Diana95640470,['charliekirk11'],retweet
bibifl59,['SenTedCruz'],retweet
juanclout2,[],tweet
Un_Clear_T,['charliekirk11'],retweet
WorlockX,['charliekirk11'],retweet
NanaOxford,['barmore27'],retweet
SBananaloaf,['Alzer_One'],retweet
FrankCoulson7,['tedcruz'],tweet
Bamafanaticfan1,[],tweet
OverUnderClover,['adamcbest'],retweet
JamesWeingrod,"['SpringerKM', 'LincolnsBible']",tweet
GadielBH_96,['Raul_Orvananos'],retweet
mariofcampos,['NewHacktivist'],retweet
RobinNAlaska,['charliekirk11'],retweet
1Amabo2Go,"['phil4gop', 'tedcruz', 'senatemajldr']",retweet
anghellickarma,['SenTedCruz'],retweet
golferdawn,['CevallosLaw'],retweet
colekate43,['adamcbest'],retweet
PROAOMONICA,['LongoTierra'],retweet
handdonordad,['adamcbest'],retweet
COMENTANDONOTIC,['rgomezjunco'],retweet
gayleelynn,['Bornabrit1'],retweet
cashflowgroup,['tedcruz'],tweet
tsandg8r,[],tweet
Megavolts001,['tedcruz'],retweet
peachyking501,['maga_sky_'],retweet
bigsexy_tote,['John_Scotus'],retweet
BarbKnowsBest,['SenTedCruz'],retweet
_jayrocker_,['PaisaTweets_'],retweet
SharonT910121,"['peaceprotectus', 'realDonaldTrump']",retweet
Crazeydeafgal,['johncardillo'],tweet
Gjarfan,"['Va_Funculo', 'tedcruz']",tweet
elite99thc,"['TheDemCoalition', 'DonaldJTrumpJr']",tweet
nancyrutas,['RagingGayCons'],retweet
R2D2NOE,"['yustedqueopina', 'FelipeCalderon']",retweet
behling_holly,['CB618444'],retweet
amarie2009,['grantstern'],tweet
RuthieRedSox,"['M4G4G1RL', 'tedcruz']",tweet
